year,grand_prix,team,engine,pilot,replacement
2024,Bahrain Grand Prix,Red Bull,Red Bull,Max Verstappen,0
2024,Bahrain Grand Prix,Red Bull,Red Bull,Sergio Pérez,0
2024,Bahrain Grand Prix,Ferrari,Ferrari,Carlos Sainz,0
2024,Bahrain Grand Prix,Ferrari,Ferrari,Charles Leclerc,0
2024,Bahrain Grand Prix,Mercedes,Mercedes,George Russell,0
2024,Bahrain Grand Prix,McLaren,McLaren,Lando Norris,0
2024,Bahrain Grand Prix,Mercedes,Mercedes,Lewis Hamilton,0
2024,Bahrain Grand Prix,McLaren,McLaren,Oscar Piastri,0
2024,Bahrain Grand Prix,Aston Martin,Aston Martin,Fernando Alonso,0
2024,Bahrain Grand Prix,Aston Martin,Aston Martin,Lance Stroll,0
2024,Bahrain Grand Prix,Sauber,Sauber,Guanyu Zhou,0
2024,Bahrain Grand Prix,Haas F1 Team,Haas F1 Team,Kevin Magnussen,0
2024,Bahrain Grand Prix,RB F1 Team,RB F1 Team,Daniel Ricciardo,0
2024,Bahrain Grand Prix,RB F1 Team,RB F1 Team,Yuki Tsunoda,0
2024,Bahrain Grand Prix,Williams,Williams,Alexander Albon,0
2024,Bahrain Grand Prix,Haas F1 Team,Haas F1 Team,Nico Hülkenberg,0
2024,Bahrain Grand Prix,Alpine F1 Team,Alpine F1 Team,Esteban Ocon,0
2024,Bahrain Grand Prix,Alpine F1 Team,Alpine F1 Team,Pierre Gasly,0
2024,Bahrain Grand Prix,Sauber,Sauber,Valtteri Bottas,0
2024,Bahrain Grand Prix,Williams,Williams,Logan Sargeant,0
2024,Saudi Arabian Grand Prix,Red Bull,Red Bull,Max Verstappen,0
2024,Saudi Arabian Grand Prix,Red Bull,Red Bull,Sergio Pérez,0
2024,Saudi Arabian Grand Prix,Ferrari,Ferrari,Charles Leclerc,0
2024,Saudi Arabian Grand Prix,McLaren,McLaren,Oscar Piastri,0
